lat	lon
5547555	653842
5547554	653842
5547553	653844
5547550	653844
5547549	653844
5547547	653844
5547546	653845
5547544	653846
5547542	653845
5547540	653846
5547537	653846
5547535	653846
5547533	653847
5547530	653847
5547528	653848
5547526	653848
5547525	653849
5547522	653849
5547521	653850
5547518	653850
5547514	653851
5547512	653851
5547509	653852
5547507	653852
5547504	653853
5547501	653853
5547500	653854
5547498	653854
5547497	653855
5547495	653856
5547495	653856
5547494	653856
5547494	653856
5547494	653856
