lat	lon
5547504	653778
5547503	653782
5547503	653785
5547504	653785
5547505	653787
5547506	653789
5547508	653791
5547508	653792
5547510	653795
5547511	653796
5547513	653798
5547514	653799
5547515	653800
5547516	653801
5547517	653803
5547518	653804
5547519	653806
5547520	653807
5547522	653808
5547523	653811
5547524	653812
5547524	653812
5547525	653813
5547526	653814
5547526	653815
5547527	653816
5547529	653818
5547531	653819
5547531	653820
5547533	653822
5547534	653824
5547535	653825
5547536	653825
5547537	653827
5547540	653828
5547542	653830
5547543	653831
5547545	653832
5547546	653833
5547547	653835
5547548	653839
5547548	653839
5547549	653842
5547550	653845
5547550	653847
5547551	653849
5547553	653851
5547554	653853
5547554	653854
5547555	653855
5547556	653857
5547558	653858
5547560	653861
5547561	653862
